PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT
A.J. Lawson,TOR,G,26,18.7,9.1,1.2,3.3,0.5,0.2,0.6,0.421,0.327,0.683
AJ Green,MIL,G,73,22.7,7.4,1.5,2.4,0.5,0.1,0.5,0.429,0.427,0.815
AJ Johnson,WAS,G,29,22.0,7.6,2.6,2.0,0.4,0.1,1.2,0.385,0.267,0.865
Aaron Gordon,DEN,F,51,28.4,14.7,3.2,4.8,0.5,0.3,1.4,0.531,0.436,0.81
Aaron Holiday,HOU,G,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829
Aaron Nesmith,IND,G-F,45,24.9,12.0,1.2,4.0,0.8,0.4,0.8,0.507,0.431,0.913
Aaron Wiggins,OKC,G,76,22.9,12.0,1.8,3.9,0.8,0.2,0.9,0.488,0.383,0.831
Adem Bona,PHI,F,58,15.6,5.8,0.5,4.2,0.4,1.2,1.1,0.703,0.0,0.67
Ajay Mitchell,OKC,G,36,16.6,6.5,1.8,1.9,0.7,0.1,0.8,0.495,0.383,0.829
Al Horford,BOS,C-F,60,27.6,9.0,2.1,6.2,0.6,0.9,0.8,0.423,0.363,0.895
Alec Burks,MIA,G,49,17.6,7.3,1.1,2.5,0.6,0.1,0.6,0.424,0.425,0.776
Alex Caruso,OKC,G,54,19.3,7.1,2.5,2.9,1.6,0.6,0.7,0.446,0.353,0.824
Alex Sarr,WAS,C,67,27.1,13.0,2.4,6.5,0.7,1.5,1.7,0.394,0.308,0.679
Alperen Sengun,HOU,C,76,31.5,19.1,4.9,10.3,1.1,0.8,2.6,0.496,0.233,0.692
Amen Thompson,HOU,G-F,69,32.3,14.1,3.8,8.2,1.4,1.3,2.0,0.557,0.275,0.684
Amir Coffey,LAC,G-F,72,24.3,9.7,1.1,2.2,0.6,0.1,0.6,0.471,0.409,0.891
Andre Drummond,PHI,C,40,18.8,7.3,0.9,7.8,1.0,0.5,1.4,0.5,0.15,0.622
Andre Jackson Jr.,MIL,G,67,14.6,3.4,1.2,2.7,0.5,0.2,0.9,0.477,0.395,0.5
Andrew Nembhard,IND,G-F,65,28.9,10.0,5.0,3.3,1.2,0.2,1.7,0.458,0.291,0.794
Andrew Wiggins,MIA,F,60,30.7,18.0,2.6,4.5,1.0,0.8,1.7,0.448,0.374,0.763
Anfernee Simons,POR,G,70,32.7,19.3,4.8,2.7,0.9,0.1,2.0,0.426,0.363,0.902
Anthony Black,ORL,G,78,24.2,9.4,3.1,2.9,1.1,0.6,1.8,0.423,0.318,0.761
Anthony Davis,DAL,F-C,51,33.4,24.7,3.5,11.6,1.2,2.2,2.2,0.516,0.282,0.775
Anthony Edwards,MIN,G,79,36.3,27.6,4.5,5.7,1.2,0.6,3.2,0.447,0.395,0.837
Antonio Reeves,NOP,G,44,15.0,6.9,0.9,1.4,0.5,0.1,0.7,0.456,0.395,0.8
Ausar Thompson,DET,G-F,59,22.5,10.1,2.3,5.1,1.7,0.7,1.4,0.535,0.224,0.641
Austin Reaves,LAL,G,73,34.9,20.2,5.8,4.5,1.1,0.3,2.4,0.46,0.377,0.877
Ayo Dosunmu,CHI,G,46,30.3,12.3,4.5,3.5,0.9,0.4,1.5,0.492,0.328,0.785
Bam Adebayo,MIA,C-F,78,34.3,18.1,4.3,9.6,1.3,0.7,2.1,0.485,0.357,0.765
Baylor Scheierman,BOS,G,31,12.4,3.6,1.1,2.1,0.5,0.1,0.4,0.355,0.317,0.75
Ben Sheppard,IND,G,63,19.5,5.3,1.3,2.8,0.6,0.2,0.3,0.418,0.342,0.889
Ben Simmons,LAC,G-F,51,22.0,5.0,5.6,4.7,0.7,0.5,2.0,0.52,0.0,0.727
Bennedict Mathurin,IND,G-F,72,29.9,16.1,1.9,5.3,0.7,0.3,1.9,0.458,0.34,0.831
Bilal Coulibaly,WAS,G,59,33.0,12.3,3.4,5.0,1.3,0.7,2.1,0.421,0.281,0.746
Bismack Biyombo,SAS,C,28,18.8,5.1,1.1,5.6,0.6,0.8,1.0,0.588,0.0,0.4
Blake Wesley,SAS,G,58,11.8,3.7,2.0,1.1,0.6,0.1,0.9,0.435,0.293,0.623
Bobby Portis,MIL,F,49,25.4,13.9,2.1,8.4,0.7,0.5,1.2,0.466,0.365,0.836
Bogdan Bogdanović,LAC,G,54,25.0,10.8,2.7,2.9,0.8,0.2,1.4,0.427,0.363,0.879
Bol Bol,PHX,C-F,36,12.5,6.8,0.6,2.9,0.3,0.7,0.6,0.525,0.344,0.769
Bradley Beal,PHX,G,53,32.1,17.0,3.7,3.3,1.1,0.5,1.9,0.497,0.386,0.803
Brandin Podziemski,GSW,G,64,26.8,11.7,3.4,5.1,1.1,0.2,1.2,0.445,0.372,0.758
Brandon Boston,NOP,G,42,23.6,10.7,2.2,3.2,1.3,0.2,1.2,0.436,0.35,0.788
Brandon Clarke,MEM,F,64,18.9,8.3,1.0,5.1,0.8,0.6,0.6,0.621,0.059,0.701
Brandon Miller,CHA,F,27,34.2,21.0,3.6,4.9,1.1,0.7,2.8,0.403,0.355,0.861
Brandon Williams,DAL,G,33,14.8,8.3,2.3,1.8,0.7,0.2,1.2,0.521,0.4,0.833
Brice Sensabaugh,UTA,F,71,20.2,10.9,1.5,3.0,0.6,0.1,1.5,0.459,0.422,0.89
Brook Lopez,MIL,C,80,31.8,13.0,1.8,5.0,0.6,1.9,1.1,0.509,0.373,0.826
Bruce Brown,NOP,G-F,41,22.5,8.3,2.0,4.0,0.8,0.2,1.0,0.421,0.333,0.815
Bub Carrington,WAS,G,82,30.0,9.8,4.4,4.2,0.7,0.3,1.7,0.401,0.339,0.812
Buddy Hield,GSW,G,82,22.7,11.1,1.6,3.2,0.8,0.3,1.1,0.417,0.37,0.828
CJ McCollum,NOP,G,56,32.7,21.1,4.1,3.8,0.8,0.4,1.9,0.444,0.373,0.717
Cade Cunningham,DET,G,70,35.0,26.1,9.1,6.1,1.0,0.8,4.4,0.469,0.356,0.846
Caleb Houstan,ORL,G,58,13.6,4.1,0.6,1.3,0.4,0.1,0.2,0.421,0.4,0.882
Caleb Martin,DAL,F,45,27.1,7.9,2.1,3.9,1.0,0.5,1.2,0.424,0.359,0.622
Cam Reddish,LAL,UNK,33,17.9,3.2,0.7,2.0,1.0,0.3,0.4,0.404,0.277,0.615
Cam Spencer,MEM,G,25,10.1,4.2,1.4,1.2,0.4,0.0,0.2,0.415,0.365,1.0
Cam Thomas,BKN,G,25,31.2,24.0,3.8,3.3,0.6,0.1,2.5,0.438,0.349,0.881
Cam Whitmore,HOU,F,51,16.2,9.4,1.0,3.0,0.6,0.3,0.9,0.444,0.355,0.75
Cameron Johnson,BKN,F,57,31.6,18.8,3.4,4.3,0.9,0.4,1.7,0.475,0.39,0.893
Cameron Payne,NYK,G,72,15.1,6.9,2.8,1.4,0.5,0.2,0.7,0.401,0.363,0.907
Caris LeVert,ATL,G,64,24.9,12.1,3.4,3.2,0.9,0.5,1.2,0.467,0.373,0.71
Cason Wallace,OKC,G,68,27.6,8.4,2.5,3.4,1.8,0.5,0.9,0.474,0.356,0.811
Charles Bassey,SAS,C-F,36,10.4,4.4,0.5,4.2,0.4,0.8,0.6,0.581,0.0,0.636
Chet Holmgren,OKC,C-F,32,27.4,15.0,2.0,8.0,0.7,2.2,1.8,0.49,0.379,0.754
Chris Boucher,TOR,F,50,17.2,10.0,0.7,4.5,0.5,0.5,0.6,0.492,0.363,0.782
Chris Paul,SAS,G,82,28.0,8.8,7.4,3.6,1.3,0.3,1.6,0.427,0.377,0.924
Christian Braun,DEN,G,79,33.9,15.4,2.6,5.2,1.1,0.5,1.0,0.58,0.397,0.827
Clint Capela,ATL,C,55,21.4,8.9,1.1,8.5,0.6,1.0,0.9,0.559,0.0,0.536
Coby White,CHI,G,74,33.1,20.4,4.5,3.7,0.9,0.2,2.4,0.453,0.37,0.902
Cody Martin,PHX,F,53,22.1,6.8,2.0,4.2,1.1,0.6,1.0,0.418,0.285,0.705
Cody Williams,UTA,F,50,21.2,4.6,1.2,2.3,0.5,0.3,0.9,0.323,0.259,0.725
Colby Jones,WAS,G,39,13.2,4.0,1.1,2.2,0.7,0.3,0.6,0.457,0.327,0.657
Cole Anthony,MEM,G,67,18.4,9.4,2.9,3.0,0.7,0.5,1.5,0.424,0.353,0.823
Colin Castleton,TOR,C,26,16.6,4.7,1.1,4.7,0.3,0.4,0.9,0.469,0.125,0.763
Collin Gillespie,PHX,G,33,14.0,5.9,2.4,2.4,0.6,0.2,0.5,0.43,0.433,0.864
Collin Sexton,UTA,G,63,27.9,18.4,4.2,2.7,0.7,0.1,2.5,0.48,0.406,0.865
Corey Kispert,WAS,F,61,26.3,11.6,1.7,3.0,0.4,0.2,1.0,0.451,0.364,0.852
Cory Joseph,ORL,G,50,12.2,3.5,1.4,1.5,0.5,0.1,0.4,0.403,0.364,0.778
Craig Porter Jr.,CLE,G,51,10.1,3.7,1.4,1.3,0.3,0.3,0.7,0.514,0.438,0.719
D'Angelo Russell,BKN,G,58,25.5,12.6,5.1,2.8,1.0,0.4,1.9,0.39,0.314,0.834
DaQuan Jeffries,CHA,G-F,47,22.8,6.7,1.1,2.9,0.6,0.5,0.7,0.405,0.335,0.8
Dalano Banton,POR,F,67,16.7,8.3,2.4,2.0,0.6,0.5,1.3,0.391,0.324,0.728
Dalen Terry,CHI,F,73,13.5,4.5,1.3,1.7,0.6,0.2,0.7,0.448,0.356,0.71
Dalton Knecht,LAL,F,78,19.2,9.1,0.8,2.8,0.3,0.1,0.5,0.461,0.376,0.762
Damian Lillard,MIL,G,58,36.1,24.9,7.1,4.7,1.2,0.2,2.8,0.448,0.376,0.921
Daniel Gafford,DAL,F-C,57,21.5,12.3,1.4,6.8,0.4,1.8,1.2,0.702,0.0,0.689
Daniel Theis,NOP,UNK,38,16.3,4.3,1.6,4.3,0.5,0.5,0.7,0.473,0.243,0.838
Dante Exum,DAL,G,20,18.6,8.7,2.8,1.7,0.6,0.2,1.1,0.478,0.434,0.742
Dariq Whitehead,BKN,G-F,20,12.3,5.7,0.6,1.5,0.3,0.1,0.8,0.406,0.446,0.6
Darius Garland,CLE,G,75,30.7,20.6,6.7,2.9,1.2,0.1,2.5,0.472,0.401,0.878
David Roddy,HOU,F,33,12.4,4.6,1.1,2.5,0.4,0.3,0.7,0.456,0.311,0.769
Davion Mitchell,MIA,G,74,27.4,7.9,4.9,2.3,1.0,0.2,1.7,0.468,0.398,0.69
Day'Ron Sharpe,BKN,C,50,18.1,7.9,1.8,6.6,0.8,0.8,1.3,0.521,0.244,0.757
De'Aaron Fox,SAS,G,62,36.1,23.5,6.3,4.8,1.5,0.4,2.8,0.463,0.31,0.827
De'Andre Hunter,CLE,F-G,64,27.2,17.0,1.4,4.0,0.8,0.2,1.3,0.47,0.405,0.846
DeAndre Jordan,DEN,C,56,12.3,3.7,0.9,5.1,0.3,0.5,0.7,0.65,0.0,0.422
DeMar DeRozan,SAC,G-F,77,35.9,22.2,4.4,3.9,0.8,0.4,1.4,0.477,0.328,0.857
Dean Wade,CLE,F-C,59,21.2,5.4,1.3,4.2,0.7,0.3,0.4,0.413,0.36,0.533
Deandre Ayton,POR,C,40,30.1,14.4,1.6,10.2,0.8,1.0,1.7,0.566,0.188,0.667
Dejounte Murray,NOP,G,31,32.6,17.5,7.4,6.5,2.0,0.4,3.4,0.393,0.299,0.823
Delon Wright,NYK,G,40,15.9,3.1,1.9,1.7,0.9,0.3,0.6,0.344,0.274,0.6
Deni Avdija,POR,F,72,30.0,16.9,3.9,7.3,1.0,0.5,2.7,0.476,0.365,0.78
Dennis Schröder,DET,G,75,28.1,13.1,5.4,2.6,0.9,0.2,1.9,0.406,0.342,0.838
Dereck Lively II,DAL,C,36,23.1,8.7,2.4,7.5,0.6,1.6,1.1,0.702,0.0,0.63
Derrick Jones Jr.,LAC,F,77,24.3,10.1,0.8,3.4,1.0,0.4,0.9,0.526,0.356,0.703
Derrick White,BOS,G,76,33.9,16.4,4.8,4.5,0.9,1.1,1.7,0.442,0.384,0.839
Desmond Bane,ORL,G,69,32.0,19.2,5.3,6.1,1.2,0.4,2.4,0.484,0.392,0.894
Devin Booker,PHX,G,75,37.3,25.6,7.1,4.1,0.9,0.2,2.9,0.461,0.332,0.894
Devin Carter,SAC,G,36,11.0,3.8,1.1,2.1,0.6,0.1,0.5,0.37,0.295,0.591
Devin Vassell,SAS,G-F,64,31.0,16.3,2.9,4.0,1.3,0.5,1.4,0.443,0.368,0.792
Dillon Brooks,HOU,G-F,75,31.8,14.0,1.7,3.7,0.8,0.2,1.0,0.429,0.397,0.818
Dillon Jones,OKC,F,54,10.2,2.5,1.1,2.2,0.3,0.1,0.5,0.383,0.254,0.607
Domantas Sabonis,SAC,F-C,70,34.7,19.1,6.0,13.9,0.7,0.4,2.9,0.59,0.417,0.754
Dominick Barlow,ATL,F,35,10.7,4.2,0.5,2.4,0.3,0.5,0.1,0.531,0.259,0.636
Donovan Clingan,POR,C,67,19.8,6.5,1.1,7.9,0.5,1.6,1.1,0.539,0.286,0.596
Donovan Mitchell,CLE,G,71,31.4,24.0,5.0,4.5,1.3,0.2,2.1,0.443,0.368,0.823
Donte DiVincenzo,MIN,G,62,25.9,11.7,3.6,3.7,1.2,0.3,1.6,0.422,0.397,0.778
Dorian Finney-Smith,LAL,F,63,28.9,8.7,1.4,3.9,0.9,0.4,0.9,0.448,0.411,0.667
Draymond Green,GSW,F,68,29.2,9.0,5.6,6.1,1.5,1.0,2.6,0.424,0.325,0.687
Drew Eubanks,LAC,F-C,61,12.2,4.6,0.9,3.7,0.2,0.6,0.7,0.593,0.5,0.662
Duncan Robinson,MIA,F,74,24.1,11.0,2.4,2.3,0.5,0.1,1.2,0.437,0.393,0.887
Duop Reath,POR,C,46,10.2,4.2,0.6,2.0,0.3,0.3,0.3,0.422,0.321,0.909
Dwight Powell,DAL,F-C,55,10.0,2.1,1.0,2.1,0.3,0.4,0.3,0.689,0.4,0.651
Dyson Daniels,ATL,G,76,33.8,14.1,4.4,5.9,3.0,0.7,2.0,0.493,0.34,0.593
Elfrid Payton,NOP,G,24,21.3,3.5,6.9,3.3,1.0,0.5,2.5,0.328,0.167,0.571
Eric Gordon,PHI,G,39,19.7,6.8,1.7,1.2,0.7,0.3,0.7,0.426,0.409,0.75
Evan Mobley,CLE,C,71,30.5,18.5,3.2,9.3,0.9,1.6,2.0,0.557,0.37,0.725
Franz Wagner,ORL,F,60,33.7,24.2,4.7,5.7,1.3,0.4,2.3,0.463,0.295,0.871
Fred VanVleet,HOU,G,60,35.2,14.1,5.6,3.7,1.6,0.4,1.5,0.378,0.345,0.81
GG Jackson,MEM,F,29,15.8,7.2,1.0,3.2,0.4,0.2,1.1,0.372,0.337,0.725
Gabe Vincent,LAL,G,72,21.2,6.4,1.4,1.3,0.7,0.2,0.6,0.4,0.353,0.714
Garrison Mathews,ATL,G,47,17.6,7.5,1.3,1.9,0.6,0.3,0.7,0.397,0.39,0.821
Gary Harris,ORL,G,48,14.8,3.0,0.6,1.3,0.5,0.3,0.4,0.383,0.356,0.583
Gary Payton II,GSW,G,62,15.0,6.5,1.3,3.0,0.8,0.3,0.6,0.574,0.326,0.711
Gary Trent Jr.,MIL,G,74,25.6,11.1,1.2,2.3,1.0,0.1,0.6,0.431,0.416,0.848
Georges Niang,ATL,F,79,21.5,9.9,1.4,3.4,0.4,0.2,1.0,0.461,0.406,0.793
Giannis Antetokounmpo,MIL,F,67,34.2,30.4,6.5,11.9,0.9,1.2,3.1,0.601,0.222,0.617
Goga Bitadze,ORL,C-F,70,20.4,7.2,2.0,6.6,0.7,1.4,1.0,0.611,0.107,0.639
Gradey Dick,TOR,G-F,54,29.4,14.4,1.8,3.6,0.9,0.2,1.5,0.41,0.35,0.858
Grayson Allen,PHX,G,64,24.1,10.6,2.1,3.0,0.8,0.3,1.2,0.448,0.426,0.816
Guerschon Yabusele,PHI,F,70,27.1,11.0,2.1,5.6,0.8,0.3,1.2,0.501,0.38,0.725
Gui Santos,GSW,F,56,13.6,4.1,1.4,3.1,0.4,0.2,0.8,0.458,0.33,0.69
Harrison Barnes,SAS,F,82,27.2,12.3,1.7,3.8,0.5,0.2,0.6,0.508,0.433,0.809
Haywood Highsmith,MIA,F,74,24.6,6.5,1.5,3.4,0.9,0.5,0.7,0.458,0.382,0.721
Herbert Jones,NOP,F,20,32.4,10.3,3.3,3.9,1.9,0.5,1.8,0.436,0.306,0.825
Immanuel Quickley,TOR,G,33,27.8,17.1,5.8,3.5,0.7,0.1,1.8,0.42,0.378,0.867
Isaac Okoro,CLE,F-G,55,19.1,6.1,1.2,2.4,0.6,0.3,0.4,0.464,0.371,0.717
Isaiah Collier,UTA,G,71,25.9,8.7,6.3,3.3,0.9,0.2,2.9,0.422,0.249,0.682
Isaiah Hartenstein,OKC,C-F,57,27.9,11.2,3.8,10.7,0.8,1.1,1.7,0.581,0.0,0.675
Isaiah Joe,OKC,G,74,21.7,10.2,1.6,2.6,0.6,0.1,0.5,0.44,0.412,0.821
Isaiah Stewart,DET,F-C,72,19.9,6.0,1.7,5.5,0.4,1.4,0.9,0.559,0.321,0.759
Isaiah Wong,CHA,UNK,20,13.3,6.0,1.4,1.6,0.6,0.0,0.9,0.39,0.394,0.735
Ivica Zubac,LAC,C,80,32.8,16.8,2.7,12.6,0.7,1.1,1.6,0.628,0.0,0.661
JT Thor,WAS,F,20,12.5,3.6,0.3,2.4,0.4,0.5,0.5,0.424,0.286,0.682
Ja Morant,MEM,G,50,30.4,23.2,7.3,4.1,1.2,0.2,3.7,0.454,0.309,0.824
Ja'Kobe Walter,TOR,G,52,21.2,8.6,1.6,3.1,0.8,0.2,1.0,0.405,0.349,0.795
Jabari Smith Jr.,HOU,F,57,30.1,12.2,1.1,7.0,0.4,0.7,1.1,0.438,0.354,0.825
Jabari Walker,POR,F,60,12.5,5.2,0.6,3.5,0.6,0.1,0.6,0.515,0.389,0.69
Jaden Hardy,DAL,G,57,15.9,8.7,1.4,1.6,0.5,0.1,1.4,0.435,0.386,0.698
Jaden Ivey,DET,G,30,29.9,17.6,4.0,4.1,0.9,0.4,3.0,0.46,0.409,0.733
Jaden McDaniels,MIN,F,82,31.9,12.2,2.0,5.7,1.3,0.9,1.2,0.477,0.33,0.813
Jae'Sean Tate,HOU,F,52,11.3,3.6,0.9,2.3,0.5,0.1,0.4,0.473,0.348,0.681
Jaime Jaquez Jr.,MIA,G,66,20.7,8.6,2.5,4.4,0.9,0.2,1.5,0.461,0.311,0.754
Jake LaRavia,SAC,F,66,20.4,6.9,2.4,3.9,0.9,0.3,1.3,0.475,0.423,0.678
Jakob Poeltl,TOR,C,57,29.6,14.5,2.8,9.6,1.2,1.2,1.9,0.627,0.333,0.674
Jalen Brunson,NYK,G,65,35.4,26.0,7.3,2.9,0.9,0.1,2.5,0.488,0.383,0.821
Jalen Duren,DET,C,78,26.1,11.8,2.7,10.3,0.7,1.1,1.7,0.692,0.0,0.669
Jalen Green,HOU,G,82,32.9,21.0,3.4,4.6,0.9,0.3,2.5,0.423,0.354,0.813
Jalen Johnson,ATL,F,36,35.7,18.9,5.0,10.0,1.6,1.0,2.9,0.5,0.312,0.746
Jalen Pickett,DEN,G,49,13.6,4.1,2.2,1.4,0.4,0.1,0.5,0.428,0.396,0.75
Jalen Smith,CHI,F-C,64,15.0,8.2,1.0,5.6,0.3,0.7,0.6,0.466,0.324,0.809
Jalen Suggs,ORL,G,35,28.6,16.2,3.7,4.0,1.5,0.9,2.9,0.41,0.314,0.882
Jalen Williams,OKC,G-F,69,32.4,21.6,5.1,5.3,1.6,0.7,2.2,0.484,0.365,0.789
Jalen Wilson,BKN,F,79,25.7,9.5,1.8,3.4,0.5,0.1,1.0,0.397,0.337,0.818
Jamal Cain,NOP,F,37,13.6,5.3,0.6,2.3,0.6,0.2,0.6,0.43,0.325,0.68
Jamal Murray,DEN,G,67,36.1,21.4,6.0,3.9,1.4,0.5,2.1,0.474,0.393,0.886
Jamal Shead,TOR,G,75,19.6,7.1,4.2,1.5,0.8,0.1,1.6,0.405,0.323,0.768
James Harden,LAC,G,79,35.3,22.8,8.7,5.8,1.5,0.7,4.3,0.41,0.352,0.874
Jamison Battle,TOR,F,59,17.7,7.1,0.9,2.7,0.3,0.2,0.5,0.429,0.405,0.889
Jarace Walker,IND,F,75,15.8,6.1,1.5,3.1,0.7,0.3,1.0,0.472,0.405,0.667
Jared Butler,PHI,G,60,17.4,9.0,3.7,1.8,0.7,0.2,1.3,0.448,0.355,0.824
Jared McCain,PHI,G,23,25.7,15.3,2.6,2.4,0.7,0.0,1.6,0.46,0.383,0.875
Jaren Jackson Jr.,MEM,F-C,74,29.8,22.2,2.0,5.6,1.2,1.5,2.1,0.488,0.375,0.781
Jarred Vanderbilt,LAL,F,36,16.1,4.1,1.1,5.1,1.0,0.3,0.8,0.488,0.281,0.556
Jarrett Allen,CLE,C,82,28.0,13.5,1.9,9.7,0.9,0.9,1.2,0.706,0.0,0.718
Javonte Green,CLE,G,68,18.5,5.1,0.8,3.2,1.0,0.5,0.5,0.429,0.326,0.724
Jaxson Hayes,LAL,C-F,56,19.5,6.8,1.0,4.8,0.6,0.9,0.8,0.722,0.0,0.622
Jay Huff,MEM,C,64,11.7,6.9,0.6,2.0,0.3,0.9,0.5,0.515,0.405,0.786
Jaylen Brown,BOS,G-F,63,34.3,22.2,4.5,5.8,1.2,0.3,2.6,0.463,0.324,0.764
Jaylen Clark,MIN,G,40,13.0,4.1,0.7,1.3,0.9,0.1,0.2,0.467,0.431,0.784
Jaylen Wells,MEM,F,79,25.9,10.4,1.7,3.4,0.6,0.1,0.9,0.425,0.352,0.822
Jaylin Williams,OKC,F,47,16.7,5.9,2.6,5.6,0.5,0.6,0.7,0.439,0.399,0.767
Jayson Tatum,BOS,F-G,72,36.4,26.8,6.0,8.7,1.1,0.5,2.9,0.452,0.343,0.814
Jeff Dowtin Jr.,PHI,G,41,15.1,7.0,1.9,1.5,0.6,0.3,0.4,0.487,0.4,0.733
Jeff Green,HOU,F,32,12.4,5.4,0.6,1.8,0.2,0.1,0.3,0.504,0.367,0.808
Jerami Grant,POR,F,47,32.4,14.4,2.1,3.5,0.9,1.0,1.4,0.373,0.365,0.849
