PLAYER,TEAM,POSITION,GP,MIN,PPG,APG,RPG,SPG,BPG,TOV,FG_PCT,FG3_PCT,FT_PCT,PTS_per_36,AST_per_36,REB_per_36,ALL_AROUND_SCORE,ARCHETYPE
A.J. Lawson,TOR,G,26,18.7,9.1,1.2,3.3,0.5,0.2,0.6,0.421,0.327,0.683,17.518716577540108,2.310160427807487,6.352941176470588,13.3,Role Player
AJ Green,MIL,G,73,22.7,7.4,1.5,2.4,0.5,0.1,0.5,0.429,0.427,0.815,11.73568281938326,2.3788546255506606,3.8061674008810575,10.9,Role Player
AJ Johnson,WAS,G,29,22.0,7.6,2.6,2.0,0.4,0.1,1.2,0.385,0.267,0.865,12.436363636363637,4.254545454545455,3.272727272727273,11.6,Role Player
Aaron Gordon,DEN,F,51,28.4,14.7,3.2,4.8,0.5,0.3,1.4,0.531,0.436,0.81,18.633802816901408,4.056338028169015,6.084507042253521,23.3,Scorer
Aaron Holiday,HOU,G,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829,15.46875,3.65625,3.65625,6.7,Role Player
Aaron Nesmith,IND,G-F,45,24.9,12.0,1.2,4.0,0.8,0.4,0.8,0.507,0.431,0.913,17.34939759036145,1.7349397590361446,5.783132530120482,19.5,Role Player
Aaron Wiggins,OKC,G,76,22.9,12.0,1.8,3.9,0.8,0.2,0.9,0.488,0.383,0.831,18.8646288209607,2.8296943231441047,6.131004366812228,19.3,Role Player
Adem Bona,PHI,F,58,15.6,5.8,0.5,4.2,0.4,1.2,1.1,0.703,0.0,0.67,13.384615384615385,1.153846153846154,9.692307692307693,15.9,Rebounder / Interior Player
Ajay Mitchell,OKC,G,36,16.6,6.5,1.8,1.9,0.7,0.1,0.8,0.495,0.383,0.829,14.096385542168674,3.903614457831325,4.120481927710843,11.5,Role Player
Al Horford,BOS,C-F,60,27.6,9.0,2.1,6.2,0.6,0.9,0.8,0.423,0.363,0.895,11.73913043478261,2.739130434782609,8.08695652173913,23.7,Rebounder / Interior Player
Alec Burks,MIA,G,49,17.6,7.3,1.1,2.5,0.6,0.1,0.6,0.424,0.425,0.776,14.93181818181818,2.25,5.113636363636363,11.0,Role Player
Alex Caruso,OKC,G,54,19.3,7.1,2.5,2.9,1.6,0.6,0.7,0.446,0.353,0.824,13.243523316062175,4.66321243523316,5.409326424870466,23.7,Rebounder / Interior Player
Alex Sarr,WAS,C,67,27.1,13.0,2.4,6.5,0.7,1.5,1.7,0.394,0.308,0.679,17.269372693726936,3.188191881918819,8.634686346863468,31.1,Rebounder / Interior Player
Alperen Sengun,HOU,C,76,31.5,19.1,4.9,10.3,1.1,0.8,2.6,0.496,0.233,0.692,21.82857142857143,5.6,11.771428571428572,44.5,All-Around Player
Amen Thompson,HOU,G-F,69,32.3,14.1,3.8,8.2,1.4,1.3,2.0,0.557,0.275,0.684,15.715170278637773,4.235294117647059,9.139318885448915,40.9,All-Around Player
Amir Coffey,LAC,G-F,72,24.3,9.7,1.1,2.2,0.6,0.1,0.6,0.471,0.409,0.891,14.370370370370368,1.6296296296296298,3.2592592592592595,12.1,Role Player
Andre Drummond,PHI,C,40,18.8,7.3,0.9,7.8,1.0,0.5,1.4,0.5,0.15,0.622,13.978723404255318,1.7234042553191489,14.936170212765957,23.7,Rebounder / Interior Player
Andre Jackson Jr.,MIL,G,67,14.6,3.4,1.2,2.7,0.5,0.2,0.9,0.477,0.395,0.5,8.383561643835616,2.958904109589041,6.657534246575343,8.7,Role Player
Andrew Nembhard,IND,G-F,65,28.9,10.0,5.0,3.3,1.2,0.2,1.7,0.458,0.291,0.794,12.456747404844291,6.228373702422146,4.110726643598616,25.6,Playmaker
Andrew Wiggins,MIA,F,60,30.7,18.0,2.6,4.5,1.0,0.8,1.7,0.448,0.374,0.763,21.107491856677527,3.0488599348534207,5.276872964169382,30.1,All-Around Player
